task_id,post_id,annotator1_task_a,annotator1_task_b,annotator2_task_a,annotator2_task_b,task_a_agreement,task_b_agreement
753,1069706039719708,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Instruction / advice to public,True,False
757,2312864005403899,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,Water quality / safety / public health,Institutional promotion / community news,False,True
759,705960563224941,Service disruption / repair / infrastructure,Alert / warning,Water quality / safety / public health,Alert / warning,False,True
760,604215585075939,Routine / institutional / customer service / other,Institutional promotion / community news,Service disruption / repair / infrastructure,Institutional promotion / community news,False,True
761,553021171852215,Service disruption / repair / infrastructure,Alert / warning,Water quality / safety / public health,Operational update / resolution,False,False
762,675612051262796,Routine / institutional / customer service / other,Institutional promotion / community news,Public education / heritage / community engagement,Institutional promotion / community news,False,True
764,1383391509800549,Water quality / safety / public health,Other / unclear,Water quality / safety / public health,Education / awareness,True,False
768,994659493891030,Routine / institutional / customer service / other,Institutional promotion / community news,Water quality / safety / public health,Institutional promotion / community news,False,True
770,6190754107614850,Routine / institutional / customer service / other,Institutional promotion / community news,Public education / heritage / community engagement,Education / awareness,False,False
771,10158100543034268,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Education / awareness,True,False
773,2510779975665348,Routine / institutional / customer service / other,Institutional promotion / community news,Service disruption / repair / infrastructure,Operational update / resolution,False,False
774,10160919330114268,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,Water conservation / drought / demand management,Education / awareness,False,True
776,323539377669715,Routine / institutional / customer service / other,Education / awareness,Water conservation / drought / demand management,Education / awareness,False,True
778,924590319706673,Routine / institutional / customer service / other,Education / awareness,Water conservation / drought / demand management,Education / awareness,False,True
779,896463259149029,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,True,False
781,1983547585131645,Routine / institutional / customer service / other,Institutional promotion / community news,Water quality / safety / public health,Education / awareness,False,False
782,1085115194844212,Water conservation / drought / demand management,Institutional promotion / community news,Water conservation / drought / demand management,Education / awareness,True,False
783,1400263863460023,Water quality / safety / public health,Institutional promotion / community news,Water quality / safety / public health,Education / awareness,True,False
786,644100595666638,Public education / heritage / community engagement,Institutional promotion / community news,Flood / stormwater / wastewater / sewer,Institutional promotion / community news,False,True
787,1695386610538026,Routine / institutional / customer service / other,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,False,False
794,4627612800595663,Routine / institutional / customer service / other,Institutional promotion / community news,Public education / heritage / community engagement,Education / awareness,False,False
797,2570631773013501,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,True,False
799,1027667947373043,Routine / institutional / customer service / other,Education / awareness,Water quality / safety / public health,Education / awareness,False,True
802,2061645670815478,Public education / heritage / community engagement,Institutional promotion / community news,Flood / stormwater / wastewater / sewer,Institutional promotion / community news,False,True
803,1517425655000790,Routine / institutional / customer service / other,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,False,False
804,677066031131097,Public education / heritage / community engagement,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,False,True
805,10158039795296714,Routine / institutional / customer service / other,Instruction / advice to public,Water quality / safety / public health,Instruction / advice to public,False,True
809,1001331937021134,Service disruption / repair / infrastructure,Alert / warning,Water quality / safety / public health,Operational update / resolution,False,False
817,1153617538459239,Service disruption / repair / infrastructure,Alert / warning,Water quality / safety / public health,Operational update / resolution,False,False
822,976806475676332,Public education / heritage / community engagement,Institutional promotion / community news,Water conservation / drought / demand management,Institutional promotion / community news,False,True
823,1064197302392191,Routine / institutional / customer service / other,Institutional promotion / community news,Flood / stormwater / wastewater / sewer,Education / awareness,False,False
824,518333485320984,Service disruption / repair / infrastructure,Alert / warning,Water quality / safety / public health,Alert / warning,False,True
825,2009820259094658,Flood / stormwater / wastewater / sewer,Education / awareness,Flood / stormwater / wastewater / sewer,Instruction / advice to public,True,False
826,3311491102260894,Routine / institutional / customer service / other,Institutional promotion / community news,Service disruption / repair / infrastructure,Education / awareness,False,False
829,1799028166903680,Service disruption / repair / infrastructure,Operational update / resolution,Flood / stormwater / wastewater / sewer,Education / awareness,False,False
831,10160300092269268,Routine / institutional / customer service / other,Institutional promotion / community news,Water conservation / drought / demand management,Institutional promotion / community news,False,True
834,2215839701889189,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Operational update / resolution,True,False
835,922109568276705,Service disruption / repair / infrastructure,Alert / warning,Water quality / safety / public health,Operational update / resolution,False,False
838,769242782051989,Routine / institutional / customer service / other,Institutional promotion / community news,Flood / stormwater / wastewater / sewer,Institutional promotion / community news,False,True
842,1464111426945832,Public education / heritage / community engagement,Institutional promotion / community news,Water quality / safety / public health,Institutional promotion / community news,False,True
844,2137211386302496,Water conservation / drought / demand management,Instruction / advice to public,Flood / stormwater / wastewater / sewer,Instruction / advice to public,False,True
846,982146291862065,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,True,False
847,847686739052322,Public education / heritage / community engagement,Education / awareness,Water conservation / drought / demand management,Education / awareness,False,True
848,1112521382104840,Public education / heritage / community engagement,Education / awareness,Water conservation / drought / demand management,Education / awareness,False,True
850,5769235519766713,Routine / institutional / customer service / other,Education / awareness,Water quality / safety / public health,Education / awareness,False,True
852,1056584346651163,Flood / stormwater / wastewater / sewer,Institutional promotion / community news,Flood / stormwater / wastewater / sewer,Education / awareness,True,False
856,1940261256027833,Routine / institutional / customer service / other,Institutional promotion / community news,Flood / stormwater / wastewater / sewer,Institutional promotion / community news,False,True
859,707872768036724,Routine / institutional / customer service / other,Institutional promotion / community news,Public education / heritage / community engagement,Education / awareness,False,False
863,2705368656443173,Routine / institutional / customer service / other,Education / awareness,Service disruption / repair / infrastructure,Education / awareness,False,True
864,10154459035456714,Routine / institutional / customer service / other,Institutional promotion / community news,Public education / heritage / community engagement,Education / awareness,False,False
866,5929641013726162,Routine / institutional / customer service / other,Institutional promotion / community news,Public education / heritage / community engagement,Education / awareness,False,False
867,1032399463450366,Public education / heritage / community engagement,Education / awareness,Service disruption / repair / infrastructure,Institutional promotion / community news,False,False
869,10156641885239268,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,True,False
870,3787095931367073,Public education / heritage / community engagement,Education / awareness,Public education / heritage / community engagement,Instruction / advice to public,True,False
874,3288001977890092,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,True,False
875,658357474304094,Public education / heritage / community engagement,Education / awareness,Water quality / safety / public health,Education / awareness,False,True
876,970245869718774,Public education / heritage / community engagement,Education / awareness,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,False,False
877,476638702823796,Service disruption / repair / infrastructure,Alert / warning,Water quality / safety / public health,Alert / warning,False,True
878,1192934520859626,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Instruction / advice to public,True,False
880,750955958725401,Service disruption / repair / infrastructure,Alert / warning,Water quality / safety / public health,Alert / warning,False,True
881,10158482616896714,Water conservation / drought / demand management,Education / awareness,Water quality / safety / public health,Education / awareness,False,True
882,685017333669300,Routine / institutional / customer service / other,Institutional promotion / community news,Water quality / safety / public health,Education / awareness,False,False
885,2457696204307059,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,True,False
886,899765945666338,Routine / institutional / customer service / other,Institutional promotion / community news,Flood / stormwater / wastewater / sewer,Instruction / advice to public,False,False
887,1629900563753298,Routine / institutional / customer service / other,Institutional promotion / community news,Public education / heritage / community engagement,Education / awareness,False,False
888,1126509509494303,Routine / institutional / customer service / other,Institutional promotion / community news,Flood / stormwater / wastewater / sewer,Education / awareness,False,False
890,990121464808848,Service disruption / repair / infrastructure,Operational update / resolution,Water quality / safety / public health,Operational update / resolution,False,True
893,2765635943490356,Routine / institutional / customer service / other,Institutional promotion / community news,Service disruption / repair / infrastructure,Operational update / resolution,False,False
894,324798934210426,Service disruption / repair / infrastructure,Alert / warning,Service disruption / repair / infrastructure,Operational update / resolution,True,False
899,1050747233756103,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,Service disruption / repair / infrastructure,Instruction / advice to public,False,False
900,1211428424354649,Routine / institutional / customer service / other,Institutional promotion / community news,Service disruption / repair / infrastructure,Instruction / advice to public,False,False
901,2155611811159442,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,True,False
902,838487726174875,Public education / heritage / community engagement,Institutional promotion / community news,Service disruption / repair / infrastructure,Education / awareness,False,False
903,10159043301061714,Water conservation / drought / demand management,Education / awareness,Water conservation / drought / demand management,Instruction / advice to public,True,False
908,3468484636508491,Public education / heritage / community engagement,Education / awareness,Water conservation / drought / demand management,Education / awareness,False,True
911,3508605592549443,Routine / institutional / customer service / other,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,False,True
915,643695082373856,Routine / institutional / customer service / other,Institutional promotion / community news,Water quality / safety / public health,Institutional promotion / community news,False,True
917,2553090135004360,Flood / stormwater / wastewater / sewer,Education / awareness,Service disruption / repair / infrastructure,Alert / warning,False,False
918,4016642788359337,Routine / institutional / customer service / other,Education / awareness,Water conservation / drought / demand management,Education / awareness,False,True
919,788631911276649,Flood / stormwater / wastewater / sewer,Institutional promotion / community news,Flood / stormwater / wastewater / sewer,Education / awareness,True,False
922,1698048093552163,Public education / heritage / community engagement,Institutional promotion / community news,Water conservation / drought / demand management,Institutional promotion / community news,False,True
923,177545619028590,Public education / heritage / community engagement,Institutional promotion / community news,Water conservation / drought / demand management,Institutional promotion / community news,False,True
926,1069038658574722,Flood / stormwater / wastewater / sewer,Education / awareness,Service disruption / repair / infrastructure,Education / awareness,False,True
927,649328757224459,Water quality / safety / public health,Education / awareness,Water quality / safety / public health,Instruction / advice to public,True,False
928,627234017764263,Service disruption / repair / infrastructure,Alert / warning,Water quality / safety / public health,Alert / warning,False,True
929,5869007899789474,Public education / heritage / community engagement,Institutional promotion / community news,Water conservation / drought / demand management,Education / awareness,False,False
933,555601154463535,Public education / heritage / community engagement,Institutional promotion / community news,Service disruption / repair / infrastructure,Institutional promotion / community news,False,True
934,663839467003358,Service disruption / repair / infrastructure,Alert / warning,Routine / institutional / customer service / other,Reassurance / safety information,False,False
936,1788560584500913,Public education / heritage / community engagement,Institutional promotion / community news,Service disruption / repair / infrastructure,Institutional promotion / community news,False,True
937,962554629387469,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Reassurance / safety information,True,False
939,2913840082026000,Routine / institutional / customer service / other,Institutional promotion / community news,Service disruption / repair / infrastructure,Reassurance / safety information,False,False
943,3923847701025228,Routine / institutional / customer service / other,Institutional promotion / community news,Service disruption / repair / infrastructure,Instruction / advice to public,False,False
944,5914625015227762,Public education / heritage / community engagement,Institutional promotion / community news,Water quality / safety / public health,Education / awareness,False,False
945,1719719464771407,Routine / institutional / customer service / other,Institutional promotion / community news,Public education / heritage / community engagement,Institutional promotion / community news,False,True
946,1276644331311829,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,Service disruption / repair / infrastructure,Instruction / advice to public,False,False
949,5359984150691854,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Operational update / resolution,True,False
952,3987985984558351,Routine / institutional / customer service / other,Institutional promotion / community news,Water quality / safety / public health,Institutional promotion / community news,False,True
953,561070340613605,Public education / heritage / community engagement,Institutional promotion / community news,Water quality / safety / public health,Institutional promotion / community news,False,True
954,761678772644047,Flood / stormwater / wastewater / sewer,Institutional promotion / community news,Flood / stormwater / wastewater / sewer,Education / awareness,True,False
955,1753353068151099,Service disruption / repair / infrastructure,Alert / warning,Routine / institutional / customer service / other,Institutional promotion / community news,False,False
956,1192066507536708,Service disruption / repair / infrastructure,Operational update / resolution,Service disruption / repair / infrastructure,Alert / warning,True,False
957,2719674941442516,Routine / institutional / customer service / other,Institutional promotion / community news,Public education / heritage / community engagement,Institutional promotion / community news,False,True
960,794551453901836,Water conservation / drought / demand management,Instruction / advice to public,Service disruption / repair / infrastructure,Instruction / advice to public,False,True
962,2267904933522883,Public education / heritage / community engagement,Institutional promotion / community news,Water quality / safety / public health,Institutional promotion / community news,False,True
967,763064659197900,Water conservation / drought / demand management,Education / awareness,Water conservation / drought / demand management,Instruction / advice to public,True,False
968,1281649550665869,Routine / institutional / customer service / other,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Reassurance / safety information,False,False
969,10157574958211714,Public education / heritage / community engagement,Institutional promotion / community news,Flood / stormwater / wastewater / sewer,Instruction / advice to public,False,False
970,783742008780129,Service disruption / repair / infrastructure,Alert / warning,Water quality / safety / public health,Operational update / resolution,False,False
972,1117878248699835,Service disruption / repair / infrastructure,Alert / warning,Water quality / safety / public health,Operational update / resolution,False,False
976,10155249101091714,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,True,False
977,931601797327482,Service disruption / repair / infrastructure,Alert / warning,Water quality / safety / public health,Operational update / resolution,False,False
980,1344962786976755,Water quality / safety / public health,Education / awareness,Water quality / safety / public health,Instruction / advice to public,True,False
981,3306084169415206,Routine / institutional / customer service / other,Institutional promotion / community news,Water quality / safety / public health,Institutional promotion / community news,False,True
982,2337910776285603,Routine / institutional / customer service / other,Institutional promotion / community news,Flood / stormwater / wastewater / sewer,Institutional promotion / community news,False,True
983,1317304775012880,Routine / institutional / customer service / other,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,False,True
988,889340713236960,Routine / institutional / customer service / other,Other / unclear,Water conservation / drought / demand management,Reassurance / safety information,False,False
990,1041863206301340,Service disruption / repair / infrastructure,Alert / warning,Water quality / safety / public health,Operational update / resolution,False,False
994,10160224409604268,Routine / institutional / customer service / other,Instruction / advice to public,Water conservation / drought / demand management,Instruction / advice to public,False,True
995,969269786483049,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Operational update / resolution,True,False
998,10159233909126714,Water conservation / drought / demand management,Education / awareness,Water conservation / drought / demand management,Instruction / advice to public,True,False
999,663850267002278,Routine / institutional / customer service / other,Education / awareness,Routine / institutional / customer service / other,Instruction / advice to public,True,False
1002,819150087061258,Routine / institutional / customer service / other,Institutional promotion / community news,Flood / stormwater / wastewater / sewer,Education / awareness,False,False
1003,983369323972666,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Education / awareness,True,False
1005,1019520525202275,Service disruption / repair / infrastructure,Alert / warning,Water quality / safety / public health,Operational update / resolution,False,False
1006,1371427335022967,Public education / heritage / community engagement,Education / awareness,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,False,True
1008,2258375280852772,Public education / heritage / community engagement,Education / awareness,Water quality / safety / public health,Education / awareness,False,True
1012,10158045179319268,Routine / institutional / customer service / other,Education / awareness,Water quality / safety / public health,Education / awareness,False,True
1013,595180243955151,Service disruption / repair / infrastructure,Institutional promotion / community news,Flood / stormwater / wastewater / sewer,Institutional promotion / community news,False,True
1017,2049236841896052,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Education / awareness,True,False
1020,4737074156316193,Public education / heritage / community engagement,Institutional promotion / community news,Service disruption / repair / infrastructure,Institutional promotion / community news,False,True
1021,957670574309637,Routine / institutional / customer service / other,Education / awareness,Routine / institutional / customer service / other,Instruction / advice to public,True,False
1022,2216338761852525,Public education / heritage / community engagement,Education / awareness,Flood / stormwater / wastewater / sewer,Education / awareness,False,True
1024,416449181761878,Public education / heritage / community engagement,Education / awareness,Water conservation / drought / demand management,Education / awareness,False,True
1027,334632580357743,Service disruption / repair / infrastructure,Alert / warning,Water quality / safety / public health,Instruction / advice to public,False,False
1028,2790315954325366,Public education / heritage / community engagement,Institutional promotion / community news,Water conservation / drought / demand management,Institutional promotion / community news,False,True
1029,1154559160041576,Routine / institutional / customer service / other,Education / awareness,Flood / stormwater / wastewater / sewer,Education / awareness,False,True
1032,1293526706109347,Public education / heritage / community engagement,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,False,False
1034,1645768382113468,Routine / institutional / customer service / other,Institutional promotion / community news,Water quality / safety / public health,Institutional promotion / community news,False,True
1038,10158815892056714,Water conservation / drought / demand management,Education / awareness,Water conservation / drought / demand management,Instruction / advice to public,True,False
1043,1085192151557478,Public education / heritage / community engagement,Institutional promotion / community news,Flood / stormwater / wastewater / sewer,Institutional promotion / community news,False,True
1044,3523197037702670,Routine / institutional / customer service / other,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,False,False
1047,2648451201898224,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,True,False
1048,10159226792046714,Service disruption / repair / infrastructure,Education / awareness,Flood / stormwater / wastewater / sewer,Education / awareness,False,True
1052,4253545031334530,Routine / institutional / customer service / other,Institutional promotion / community news,Public education / heritage / community engagement,Institutional promotion / community news,False,True
1056,4148170731926256,Water conservation / drought / demand management,Education / awareness,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,False,True
1058,782015628952767,Service disruption / repair / infrastructure,Alert / warning,Water quality / safety / public health,Operational update / resolution,False,False
1059,1070590700095257,Routine / institutional / customer service / other,Institutional promotion / community news,Flood / stormwater / wastewater / sewer,Operational update / resolution,False,False
1064,3846946318715367,Water quality / safety / public health,Education / awareness,Water quality / safety / public health,Reassurance / safety information,True,False
1065,3706605009363118,Water conservation / drought / demand management,Institutional promotion / community news,Water conservation / drought / demand management,Instruction / advice to public,True,False
1067,1141009893053337,Service disruption / repair / infrastructure,Alert / warning,Water quality / safety / public health,Operational update / resolution,False,False
1072,1540555238073158,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,True,False
1073,695689915921676,Water quality / safety / public health,Instruction / advice to public,Water conservation / drought / demand management,Instruction / advice to public,False,True
1077,1002267423128990,Service disruption / repair / infrastructure,Operational update / resolution,Service disruption / repair / infrastructure,Alert / warning,True,False
1078,1133234700497523,Service disruption / repair / infrastructure,Alert / warning,Water quality / safety / public health,Operational update / resolution,False,False
1081,1381137298629627,Service disruption / repair / infrastructure,Institutional promotion / community news,Service disruption / repair / infrastructure,Alert / warning,True,False
1083,680269402049757,Routine / institutional / customer service / other,Education / awareness,Service disruption / repair / infrastructure,Education / awareness,False,True
1084,814985618989101,Service disruption / repair / infrastructure,Alert / warning,Water quality / safety / public health,Alert / warning,False,True
1085,5161056167251321,Water conservation / drought / demand management,Institutional promotion / community news,Water conservation / drought / demand management,Instruction / advice to public,True,False
1087,3083261898417150,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,True,False
1095,3105531389470486,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Education / awareness,True,False
1096,2933271950028518,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Education / awareness,True,False
1098,2913782632031745,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,Flood / stormwater / wastewater / sewer,Instruction / advice to public,False,True
1099,1344657535610937,Public education / heritage / community engagement,Education / awareness,Flood / stormwater / wastewater / sewer,Education / awareness,False,True
1100,4246199142070366,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Education / awareness,True,False
1101,1342697312473626,Routine / institutional / customer service / other,Education / awareness,Service disruption / repair / infrastructure,Education / awareness,False,True
1102,1473250404820210,Routine / institutional / customer service / other,Institutional promotion / community news,Flood / stormwater / wastewater / sewer,Education / awareness,False,False
1111,4052007174875946,Routine / institutional / customer service / other,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,False,False
1115,4947185712024750,Public education / heritage / community engagement,Institutional promotion / community news,Flood / stormwater / wastewater / sewer,Institutional promotion / community news,False,True
1117,1332757862223248,Routine / institutional / customer service / other,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,False,False
1118,1921676137972215,Flood / stormwater / wastewater / sewer,Institutional promotion / community news,Flood / stormwater / wastewater / sewer,Education / awareness,True,False
1119,362217903801862,Routine / institutional / customer service / other,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,False,False
1121,1719101861477108,Water conservation / drought / demand management,Operational update / resolution,Water conservation / drought / demand management,Education / awareness,True,False
1122,1110305962790397,Service disruption / repair / infrastructure,Alert / warning,Water quality / safety / public health,Alert / warning,False,True
1125,3705236209553046,Public education / heritage / community engagement,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,False,True
1126,731758363544801,Water conservation / drought / demand management,Instruction / advice to public,Water conservation / drought / demand management,Education / awareness,True,False
1128,949917462162582,Service disruption / repair / infrastructure,Alert / warning,Water quality / safety / public health,Operational update / resolution,False,False
1129,3038756129534394,Routine / institutional / customer service / other,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,False,True
1130,789220681101580,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Education / awareness,True,False
1131,672125698291797,Routine / institutional / customer service / other,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,False,True
1135,10157809488334268,Routine / institutional / customer service / other,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,False,False
1142,671123949694113,Routine / institutional / customer service / other,Institutional promotion / community news,Water quality / safety / public health,Education / awareness,False,False
1143,1573207742733188,Routine / institutional / customer service / other,Institutional promotion / community news,Flood / stormwater / wastewater / sewer,Institutional promotion / community news,False,True
1144,3586104921413128,Water quality / safety / public health,Institutional promotion / community news,Water quality / safety / public health,Education / awareness,True,False
1146,1066329002179021,Routine / institutional / customer service / other,Institutional promotion / community news,Flood / stormwater / wastewater / sewer,Education / awareness,False,False
1147,376742682349384,Water quality / safety / public health,Education / awareness,Water conservation / drought / demand management,Education / awareness,False,True
1150,3582478368442450,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,True,False
1153,681323637365133,Routine / institutional / customer service / other,Institutional promotion / community news,Flood / stormwater / wastewater / sewer,Institutional promotion / community news,False,True
1155,122144019686089660,Water quality / safety / public health,Institutional promotion / community news,Water quality / safety / public health,Alert / warning,True,False
1156,1923905941082568,Public education / heritage / community engagement,Education / awareness,Flood / stormwater / wastewater / sewer,Education / awareness,False,True
1158,10160236569889268,Public education / heritage / community engagement,Institutional promotion / community news,Water conservation / drought / demand management,Institutional promotion / community news,False,True
1159,4159444410798888,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,Water conservation / drought / demand management,Education / awareness,False,True
1161,1979023518904143,Flood / stormwater / wastewater / sewer,Education / awareness,Flood / stormwater / wastewater / sewer,Instruction / advice to public,True,False
1166,817425598745103,Service disruption / repair / infrastructure,Alert / warning,Water quality / safety / public health,Alert / warning,False,True
1168,10157864232599268,Water conservation / drought / demand management,Education / awareness,Water conservation / drought / demand management,Reassurance / safety information,True,False
1170,743802082774122,Service disruption / repair / infrastructure,Alert / warning,Water quality / safety / public health,Alert / warning,False,True
1171,1941609109249107,Routine / institutional / customer service / other,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,False,False
1172,1335955343094775,Water conservation / drought / demand management,Institutional promotion / community news,Water conservation / drought / demand management,Instruction / advice to public,True,False
1176,10159426078271714,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,Routine / institutional / customer service / other,Institutional promotion / community news,False,False
1177,683925131747328,Routine / institutional / customer service / other,Institutional promotion / community news,Water quality / safety / public health,Institutional promotion / community news,False,True
1178,380723051951347,Water quality / safety / public health,Institutional promotion / community news,Water quality / safety / public health,Instruction / advice to public,True,False
1182,1665151060175200,Water quality / safety / public health,Education / awareness,Water quality / safety / public health,Institutional promotion / community news,True,False
1184,974504722626222,Public education / heritage / community engagement,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,False,True
1186,2035387593204591,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Instruction / advice to public,True,False
1189,1365244490218908,Routine / institutional / customer service / other,Institutional promotion / community news,Service disruption / repair / infrastructure,Operational update / resolution,False,False
1191,668792456477737,Routine / institutional / customer service / other,Other / unclear,Routine / institutional / customer service / other,Institutional promotion / community news,True,False
1192,1369219444551089,Routine / institutional / customer service / other,Alert / warning,Routine / institutional / customer service / other,Institutional promotion / community news,True,False
1194,2631779320232079,Routine / institutional / customer service / other,Institutional promotion / community news,Service disruption / repair / infrastructure,Reassurance / safety information,False,False
1195,10156060161331714,Public education / heritage / community engagement,Education / awareness,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,False,True
1196,215134458510208,Service disruption / repair / infrastructure,Alert / warning,Service disruption / repair / infrastructure,Operational update / resolution,True,False
1197,1432373350172688,Water quality / safety / public health,Alert / warning,Water quality / safety / public health,Reassurance / safety information,True,False
1199,968062856550694,Routine / institutional / customer service / other,Institutional promotion / community news,Water quality / safety / public health,Education / awareness,False,False
1201,1330081283682181,Public education / heritage / community engagement,Education / awareness,Service disruption / repair / infrastructure,Education / awareness,False,True
1204,2589562827787062,Public education / heritage / community engagement,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,False,True
1206,1481151641908477,Public education / heritage / community engagement,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,False,True
1208,342602789096707,Routine / institutional / customer service / other,Education / awareness,Water quality / safety / public health,Education / awareness,False,True
1209,5999935266696736,Routine / institutional / customer service / other,Institutional promotion / community news,Water conservation / drought / demand management,Education / awareness,False,False
1210,1228968171909551,Routine / institutional / customer service / other,Institutional promotion / community news,Water quality / safety / public health,Education / awareness,False,False
1215,1357032026425481,Routine / institutional / customer service / other,Education / awareness,Water quality / safety / public health,Instruction / advice to public,False,False
1216,798270773993919,Routine / institutional / customer service / other,Institutional promotion / community news,Flood / stormwater / wastewater / sewer,Alert / warning,False,False
1217,10156060877596714,Routine / institutional / customer service / other,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,False,False
1218,2424193117657368,Routine / institutional / customer service / other,Institutional promotion / community news,Service disruption / repair / infrastructure,Reassurance / safety information,False,False
1220,1223305148096224,Service disruption / repair / infrastructure,Institutional promotion / community news,Routine / institutional / customer service / other,Institutional promotion / community news,False,True
1221,10150888137301714,Flood / stormwater / wastewater / sewer,Institutional promotion / community news,Flood / stormwater / wastewater / sewer,Education / awareness,True,False
1223,1031597702318818,Flood / stormwater / wastewater / sewer,Instruction / advice to public,Flood / stormwater / wastewater / sewer,Reassurance / safety information,True,False
1225,10202943327240608,Routine / institutional / customer service / other,Institutional promotion / community news,Public education / heritage / community engagement,Institutional promotion / community news,False,True
1226,10159216619509268,Routine / institutional / customer service / other,Education / awareness,Public education / heritage / community engagement,Education / awareness,False,True
1230,10159981541074268,Routine / institutional / customer service / other,Institutional promotion / community news,Public education / heritage / community engagement,Institutional promotion / community news,False,True
1231,853950288015000,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,True,False
